Id,IndicatorCode,SpatialDimType,SpatialDim,ParentLocationCode,TimeDimType,ParentLocation,Dim1Type,Dim1,TimeDim,Dim2Type,Dim2,Dim3Type,Dim3,DataSourceDimType,DataSourceDim,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
4091447,WHS3_41,COUNTRY,KHM,WPR,YEAR,Western Pacific,,,2006,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2006,2006-01-01T00:00:00+01:00,2006-12-31T00:00:00+01:00
4091836,WHS3_41,COUNTRY,VNM,WPR,YEAR,Western Pacific,,,2010,,,,,,,6,6.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
4091837,WHS3_41,COUNTRY,TUN,EMR,YEAR,Eastern Mediterranean,,,1998,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1998,1998-01-01T00:00:00+01:00,1998-12-31T00:00:00+01:00
4092788,WHS3_41,COUNTRY,TKM,EUR,YEAR,Europe,,,2020,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4095460,WHS3_41,COUNTRY,PLW,WPR,YEAR,Western Pacific,,,2018,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4095614,WHS3_41,WORLDBANKINCOMEGROUP,WB_UMI,,YEAR,,,,1974,,,,,,,37 209,37209.0,,,,2025-07-14T16:36:19.017+02:00,1974,1974-01-01T00:00:00+01:00,1974-12-31T00:00:00+01:00
4097258,WHS3_41,COUNTRY,ASM,WPR,YEAR,Western Pacific,,,1991,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1991,1991-01-01T00:00:00+01:00,1991-12-31T00:00:00+01:00
4098042,WHS3_41,COUNTRY,FSM,WPR,YEAR,Western Pacific,,,1992,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1992,1992-01-01T00:00:00+01:00,1992-12-31T00:00:00+01:00
4098168,WHS3_41,WORLDBANKINCOMEGROUP,WB_LI,,YEAR,,,,1976,,,,,,,1974,1974.0,,,,2025-07-14T16:36:19.017+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
4098884,WHS3_41,COUNTRY,NAM,AFR,YEAR,Africa,,,2011,,,,,,,2,2.0,,,,2025-07-14T16:36:19.017+02:00,2011,2011-01-01T00:00:00+01:00,2011-12-31T00:00:00+01:00
4101573,WHS3_41,REGION,EMR,,YEAR,,,,2020,,,,,,,295,295.0,,,,2025-07-14T16:36:19.017+02:00,2020,2020-01-01T00:00:00+01:00,2020-12-31T00:00:00+01:00
4101996,WHS3_41,COUNTRY,WLF,WPR,YEAR,Western Pacific,,,2018,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2018,2018-01-01T00:00:00+01:00,2018-12-31T00:00:00+01:00
4102013,WHS3_41,COUNTRY,BMU,AMR,YEAR,Americas,,,1983,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1983,1983-01-01T00:00:00+01:00,1983-12-31T00:00:00+01:00
4102200,WHS3_41,COUNTRY,POL,EUR,YEAR,Europe,,,1990,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1990,1990-01-01T00:00:00+01:00,1990-12-31T00:00:00+01:00
4103277,WHS3_41,COUNTRY,PAK,EMR,YEAR,Eastern Mediterranean,,,2001,,,,,,,19,19.0,,,,2025-07-14T16:36:19.017+02:00,2001,2001-01-01T00:00:00+01:00,2001-12-31T00:00:00+01:00
4104152,WHS3_41,COUNTRY,THA,SEAR,YEAR,South-East Asia,,,2016,,,,,,,16,16.0,,,,2025-07-14T16:36:19.017+02:00,2016,2016-01-01T00:00:00+01:00,2016-12-31T00:00:00+01:00
4110470,WHS3_41,COUNTRY,DJI,EMR,YEAR,Eastern Mediterranean,,,1976,,,,,,,1,1.0,,,,2025-07-14T16:36:19.017+02:00,1976,1976-01-01T00:00:00+01:00,1976-12-31T00:00:00+01:00
4110601,WHS3_41,COUNTRY,CYM,AMR,YEAR,Americas,,,1987,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,1987,1987-01-01T00:00:00+01:00,1987-12-31T00:00:00+01:00
4110722,WHS3_41,COUNTRY,NER,AFR,YEAR,Africa,,,1975,,,,,,,29,29.0,,,,2025-07-14T16:36:19.017+02:00,1975,1975-01-01T00:00:00+01:00,1975-12-31T00:00:00+01:00
4111014,WHS3_41,COUNTRY,AUT,EUR,YEAR,Europe,,,2010,,,,,,,0,0.0,,,,2025-07-14T16:36:19.017+02:00,2010,2010-01-01T00:00:00+01:00,2010-12-31T00:00:00+01:00
